FPR;Precision
0.365;0.004
0.365;0.004
0.365;0.004
0.364;0.004
0.364;0.004
0.364;0.004
0.364;0.004
0.364;0.004
0.364;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.363;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.362;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.361;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.36;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.359;0.004
0.358;0.004
0.358;0.004
0.358;0.004
0.358;0.004
0.358;0.004
0.358;0.004
0.358;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.357;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.356;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.355;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.354;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.353;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.352;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.351;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.35;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.349;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.348;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.347;0.004
0.346;0.004
0.346;0.004
0.346;0.004
0.346;0.004
0.346;0.004
0.346;0.004
